img_path,text,family,source,split,preprocess_group,has_quad,can_parse_ccpd_geom,can_perspective,quad_source,bbox_source,quad_1x,quad_1y,quad_2x,quad_2y,quad_3x,quad_3y,quad_4x,quad_4y,ocr_crop_mode,ocr_resize_mode,ocr_resize_kernel,ocr_preproc,ocr_channel_order,ocr_quad_pad_ratio
scripts/special_gen/datasets/special_ccpd2019_base_cvreplace_v2_20260601/images/train/0122653256705-90_86-234&483_444&556-440&556_229&553_230&488_441&491-0_0_7_24_33_32_19-94-22_emb_使623642.jpg,使623642,embassy,special_ccpd2019_base_cvreplace_v2__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,227.3,487.0,439.7,491.4,439.4,556.6,228.4,552.9,obb_warp,letterbox,nn,none,bgr,0.0
scripts/special_gen/datasets/special_ccpd2019_base_cvreplace_v2_20260601/images/train/0321228448276-95_62-165&465_456&585-465&595_193&545_149&456_421&506-0_0_23_32_18_25_26-41-32_emb_使715432.jpg,使715432,embassy,special_ccpd2019_base_cvreplace_v2__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,149.2,457.6,423.1,503.7,462.2,596.2,188.8,553.2,obb_warp,letterbox,nn,none,bgr,0.0
scripts/special_gen/datasets/special_ccpd2019_base_cvreplace_v2_20260601/images/train/0222006704981-88_90-105&347_383&428-393&411_126&444_115&364_382&331-0_0_30_32_22_25_30-118-31_emb_使569556.jpg,使569556,embassy,special_ccpd2019_base_cvreplace_v2__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,115.9,363.0,380.0,328.6,388.6,415.0,126.1,448.2,obb_warp,letterbox,nn,none,bgr,0.0
scripts/special_gen/datasets/special_ccpd2019_base_cvreplace_v2_20260601/images/train/0252274904214-96_75-184&300_477&396-480&415_179&377_164&283_465&321-0_0_16_31_25_33_31-162-52_emb_使438287.jpg,使438287,embassy,special_ccpd2019_base_cvreplace_v2__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,159.7,281.9,462.1,319.8,478.6,417.0,178.5,377.9,obb_warp,letterbox,nn,none,bgr,0.0
scripts/special_gen/datasets/special_ccpd2019_base_cvreplace_v2_20260601/images/train/0428807471264-92_79-127&462_524&576-544&582_137&558_120&463_527&487-0_0_1_21_25_32_27-133-87_emb_使842456.jpg,使842456,embassy,special_ccpd2019_base_cvreplace_v2__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,117.2,461.2,521.7,484.2,540.5,584.1,144.0,560.0,obb_warp,letterbox,nn,none,bgr,0.0
scripts/special_gen/datasets/special_ccpd2019_base_cvreplace_v2_20260601/images/train/0155603448276-90_77-165&447_410&513-416&521_192&526_163&449_387&444-0_0_19_29_29_29_25-138-113_emb_使648176.jpg,使648176,embassy,special_ccpd2019_base_cvreplace_v2__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,160.9,449.2,385.6,447.1,414.9,524.6,190.9,527.6,obb_warp,letterbox,nn,none,bgr,0.0
scripts/special_gen/datasets/special_ccpd2019_base_cvreplace_v2_20260601/images/train/0104430076628-90_89-265&504_462&569-467&574_261&564_256&491_462&501-0_0_3_26_24_30_25-177-18_emb_使332928.jpg,使332928,embassy,special_ccpd2019_base_cvreplace_v2__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,256.1,491.4,461.5,501.7,466.4,572.6,261.1,564.1,obb_warp,letterbox,nn,none,bgr,0.0
scripts/special_gen/datasets/special_ccpd2019_base_cvreplace_v2_20260601/images/train/0199772509579-90_88-220&432_473&520-469&517_221&514_225&434_473&437-0_0_17_33_29_25_8-117-41_emb_使719725.jpg,使719725,embassy,special_ccpd2019_base_cvreplace_v2__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,222.9,432.4,473.4,436.9,469.7,518.6,220.4,514.8,obb_warp,letterbox,nn,none,bgr,0.0
scripts/special_gen/datasets/special_ccpd2019_base_cvreplace_v2_20260601/images/train/0297485632184-91_80-161&516_475&626-482&631_175&615_147&518_454&534-0_0_17_2_24_25_32-107-42_emb_使902143.jpg,使902143,embassy,special_ccpd2019_base_cvreplace_v2__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,147.4,519.9,453.2,533.0,479.3,629.6,176.1,615.4,obb_warp,letterbox,nn,none,bgr,0.0
scripts/special_gen/datasets/special_ccpd2019_base_cvreplace_v2_20260601/images/train/0146551724138-91_92-242&508_492&575-506&593_245&583_237&502_498&512-0_0_22_30_3_27_24-149-29_emb_使845845.jpg,使845845,embassy,special_ccpd2019_base_cvreplace_v2__embassy,train,ccpd_board,1,0,1,pose_yolov8n_ccpd2019_base,pose_yolov8n_ccpd2019_base,235.3,500.6,498.4,513.2,506.8,594.4,245.7,584.1,obb_warp,letterbox,nn,none,bgr,0.0
