idx,GT,PT_pred,ONNX_op18_pred,match18,diff18,ONNX_op11_pred,match11,diff11
0,使693015,使693015,使693015,True,5.91e-05,使693015,True,5.91e-05
1,使004148,使004148,使004148,True,4.96e-05,使004148,True,4.96e-05
2,使575733,使575733,使575733,True,4.58e-05,使575733,True,4.58e-05
3,使472039,使472039,使472039,True,7.44e-05,使472039,True,7.44e-05
4,使382704,使382704,使382704,True,4.20e-05,使382704,True,4.20e-05
5,使368489,使368489,使368489,True,5.34e-05,使368489,True,5.34e-05
6,使598827,使598827,使598827,True,6.87e-05,使598827,True,6.87e-05
7,使836424,使836424,使836424,True,6.48e-05,使836424,True,6.48e-05
8,使865694,使865694,使865694,True,3.53e-05,使865694,True,3.53e-05
9,使566728,使56728,使56728,True,6.10e-05,使56728,True,6.10e-05
10,使897224,使897224,使897224,True,3.05e-05,使897224,True,3.05e-05
11,使055104,使055104,使055104,True,2.29e-05,使055104,True,2.29e-05
12,使786778,使786778,使786778,True,4.96e-05,使786778,True,4.96e-05
13,使433990,使433990,使433990,True,9.92e-05,使433990,True,9.92e-05
14,使091446,使091446,使091446,True,5.91e-05,使091446,True,5.91e-05
15,使223840,使223840,使223840,True,3.62e-05,使223840,True,3.62e-05
16,使519357,使519357,使519357,True,3.62e-05,使519357,True,3.62e-05
17,使668581,使68581,使68581,True,7.63e-05,使68581,True,7.63e-05
18,使708717,使708717,使708717,True,4.10e-05,使708717,True,4.10e-05
19,使815658,使815658,使815658,True,2.48e-05,使815658,True,2.48e-05
20,使317533,使317533,使317533,True,3.81e-05,使317533,True,3.81e-05
21,使174319,使7419,使7419,True,2.29e-04,使7419,True,2.29e-04
22,使702843,使702843,使702843,True,9.92e-05,使702843,True,9.92e-05
23,使560791,使560791,使560791,True,4.20e-05,使560791,True,4.20e-05
24,使027550,使027550,使027550,True,1.30e-04,使027550,True,1.30e-04
25,使344936,使344936,使344936,True,5.72e-05,使344936,True,5.72e-05
26,使050172,使050172,使050172,True,4.20e-05,使050172,True,4.20e-05
27,使851158,使851158,使851158,True,4.58e-05,使851158,True,4.58e-05
28,使734004,使73406,使73406,True,8.39e-05,使73406,True,8.39e-05
29,使492379,使492379,使492379,True,6.10e-05,使492379,True,6.10e-05
30,使555877,使555877,使555877,True,3.24e-05,使555877,True,3.24e-05
