path,text,province,label,split,img_path
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京K3574警.jpg,京K3574警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京K3574警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京C1268警.jpg,京C1268警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京C1268警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京J0120警.jpg,京J0120警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京J0120警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京L0301警.jpg,京L0301警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京L0301警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京Z7022警.jpg,京Z7022警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京Z7022警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京Z4109警.jpg,京Z4109警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京Z4109警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京S6969警.jpg,京S6969警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京S6969警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京M8643警.jpg,京M8643警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京M8643警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京P7843警.jpg,京P7843警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京P7843警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京K3822警.jpg,京K3822警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京K3822警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京V2276警.jpg,京V2276警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京V2276警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京X7472警.jpg,京X7472警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京X7472警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京V0622警.jpg,京V0622警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京V0622警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京T2823警.jpg,京T2823警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京T2823警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京V7006警.jpg,京V7006警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京V7006警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京V0495警.jpg,京V0495警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京V0495警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京A9242警.jpg,京A9242警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京A9242警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京U5472警.jpg,京U5472警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京U5472警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京Q8446警.jpg,京Q8446警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京Q8446警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京B7527警.jpg,京B7527警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京B7527警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京Z5885警.jpg,京Z5885警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京Z5885警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京E4541警.jpg,京E4541警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京E4541警.jpg
/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京X8006警.jpg,京X8006警,京,0,train,/home/wzzz/LPRNet/datasets/police_bluebase_cvstrict_20260603/train_京X8006警.jpg
